month,credit_amount,credit_term,age,sex,education,product_type,having_children_flg,region,income,family_status,phone_operator,is_client,bad_client_target
3.0,15500.0,12.0,28.0,male,Higher education,Household appliances,0,2,26000.0,Married,1,0,No
3.0,25500.0,16.0,22.0,female,Secondary special education,Cell phones,0,2,31000.0,Another,0,1,No
4.0,31000.0,18.0,32.0,female,Secondary special education,Cell phones,0,2,13000.0,Another,1,1,Yes
4.0,23500.0,10.0,22.0,female,Secondary special education,Household appliances,0,2,31000.0,Another,1,1,No
7.0,8000.0,8.0,31.0,female,Secondary special education,Computers,0,2,31000.0,Another,0,0,No
7.0,18000.0,10.0,35.0,male,Secondary education,Furniture,1,2,101000.0,Another,1,0,No
7.0,127000.0,15.0,50.0,female,Higher education,Tourism,1,2,66000.0,Another,1,1,No
10.0,19000.0,4.0,60.0,male,Secondary special education,Furniture,0,2,9000.0,Married,1,0,No
7.0,35000.0,6.0,42.0,female,Secondary special education,Household appliances,1,2,51000.0,Another,2,1,No
3.0,37000.0,12.0,26.0,male,Higher education,Household appliances,1,2,27000.0,Married,3,0,No
2.0,31000.0,16.0,56.0,male,Secondary special education,Cell phones,1,2,33000.0,Another,0,1,No
12.0,9000.0,12.0,32.0,male,Secondary special education,Cell phones,1,2,13000.0,Another,1,0,Yes
2.0,13500.0,6.0,24.0,female,Higher education,Construction Materials,0,2,21000.0,Another,0,1,No
12.0,22000.0,12.0,37.0,male,Secondary special education,Household appliances,1,2,22000.0,Another,1,0,No
7.0,23500.0,6.0,36.0,male,Higher education,Household appliances,1,2,31000.0,Another,1,0,No
1.0,37500.0,3.0,40.0,female,Higher education,Household appliances,1,0,51000.0,Another,1,1,No
1.0,31500.0,6.0,39.0,male,Secondary special education,Cell phones,0,0,42000.0,Married,1,1,No
11.0,10000.0,12.0,29.0,male,Higher education,Cell phones,1,2,24000.0,Married,2,0,Yes
2.0,22000.0,12.0,49.0,female,Secondary special education,Computers,1,2,41000.0,Another,0,1,No
7.0,57000.0,8.0,26.0,female,Higher education,Furniture,1,2,31000.0,Another,4,1,No
1.0,10500.0,10.0,49.0,female,Secondary special education,Household appliances,0,0,16000.0,Another,1,1,No
2.0,11000.0,3.0,29.0,female,Secondary special education,Furniture,0,1,31000.0,Another,1,1,No
4.0,22000.0,4.0,24.0,female,Secondary education,Jewelry,0,0,61000.0,Married,4,1,Yes
5.0,22500.0,12.0,62.0,male,Higher education,Windows & Doors,1,2,16000.0,Married,3,1,No
11.0,27000.0,10.0,25.0,male,Higher education,Household appliances,0,2,31000.0,Another,3,1,No
10.0,5500.0,6.0,26.0,female,Secondary education,Cell phones,0,2,21000.0,Another,0,1,No
11.0,14000.0,12.0,31.0,male,Secondary special education,Clothing,1,2,16000.0,Another,1,1,No
6.0,48500.0,6.0,25.0,female,Higher education,Computers,0,1,91000.0,Married,1,0,No
6.0,30000.0,18.0,26.0,male,Secondary special education,Cell phones,1,2,33000.0,Another,1,1,Yes
4.0,15000.0,10.0,34.0,male,Secondary special education,Furniture,0,2,19000.0,Another,1,0,No
5.0,85500.0,15.0,44.0,female,Secondary special education,Furniture,1,2,41000.0,Another,1,0,No
4.0,12000.0,6.0,47.0,female,Secondary education,Cell phones,0,2,31000.0,Another,0,1,No
10.0,12500.0,6.0,24.0,female,Secondary special education,Household appliances,0,2,23000.0,Another,1,0,No
7.0,19000.0,12.0,73.0,male,Secondary special education,Windows & Doors,0,2,16000.0,Another,0,1,No
3.0,44000.0,12.0,41.0,female,Secondary special education,Computers,1,2,81000.0,Married,0,1,No
7.0,15000.0,6.0,22.0,female,Secondary special education,Computers,0,2,19000.0,Another,0,1,No
1.0,10000.0,11.0,42.0,male,Secondary special education,Household appliances,1,2,21000.0,Married,0,1,No
12.0,16500.0,12.0,25.0,female,Higher education,Household appliances,0,2,36000.0,Another,0,0,No
7.0,48000.0,24.0,35.0,male,Secondary education,Auto,1,2,16000.0,Married,3,1,No
5.0,7000.0,3.0,58.0,male,Secondary special education,Household appliances,1,2,31000.0,Another,0,1,No
10.0,34000.0,12.0,54.0,male,Secondary special education,Household appliances,0,2,11000.0,Another,1,1,No
9.0,17500.0,24.0,35.0,female,Higher education,Furniture,1,2,41000.0,Another,1,1,No
12.0,38000.0,10.0,54.0,male,Secondary special education,Audio & Video,0,2,44000.0,Another,0,1,No
12.0,30000.0,4.0,68.0,male,Higher education,Clothing,0,0,41000.0,Another,2,1,No
12.0,17500.0,10.0,64.0,female,Higher education,Cell phones,0,2,36000.0,Married,1,1,No
7.0,16500.0,5.0,34.0,male,Secondary special education,Household appliances,0,2,18000.0,Another,0,1,No
11.0,33500.0,12.0,53.0,female,Secondary education,Furniture,0,2,19000.0,Another,3,1,No
3.0,69000.0,24.0,42.0,male,Secondary special education,Household appliances,1,2,36000.0,Another,0,0,No
10.0,28500.0,24.0,31.0,female,Secondary special education,Household appliances,1,2,31000.0,Another,3,0,No
1.0,15000.0,6.0,33.0,female,Secondary special education,Furniture,1,2,14000.0,Another,2,0,No
8.0,22500.0,12.0,19.0,female,Secondary special education,Cell phones,0,2,31000.0,Another,0,1,No
12.0,17000.0,12.0,36.0,female,Secondary special education,Cell phones,0,2,41000.0,Married,2,1,No
2.0,10000.0,6.0,23.0,female,Incomplete higher education,Household appliances,1,2,19000.0,Another,0,0,No
8.0,43000.0,10.0,33.0,male,Secondary special education,Windows & Doors,1,0,28000.0,Married,0,0,No
4.0,63500.0,15.0,23.0,male,Secondary special education,Tourism,0,0,34000.0,Another,0,0,No
8.0,9500.0,6.0,45.0,male,Secondary special education,Household appliances,1,2,24000.0,Another,0,1,Yes
11.0,31000.0,12.0,21.0,male,Higher education,Household appliances,1,0,36000.0,Another,2,0,No
5.0,19000.0,24.0,28.0,male,Secondary special education,Household appliances,0,2,31000.0,Another,1,1,No
2.0,29000.0,11.0,25.0,male,Higher education,Fitness,0,0,56000.0,Married,1,1,No
9.0,7000.0,12.0,37.0,male,Secondary special education,Cell phones,1,0,31000.0,Another,3,1,No
4.0,34500.0,12.0,26.0,male,Secondary special education,Furniture,1,2,76000.0,Married,1,0,No
2.0,12500.0,4.0,32.0,male,Secondary education,Computers,1,2,19000.0,Married,2,1,No
3.0,31000.0,12.0,22.0,female,Incomplete higher education,Cell phones,0,2,31000.0,Another,2,1,No
